{PERIODS};Electricity (%_elec);Space Heating (%_sh);Passanger mobility (%_pass);Freight mobility (%_freight);PV;Wind_onshore;Wind_offshore;Hydro_river;Solar
7017;8.73573E-05;5.48976E-05;0.000146855;0.000114155;0.001132075;0.2047;0.475195122;0.425112438;0.001132075
7018;9.22058E-05;5.58192E-05;0.000164478;0.000114155;0.027601078;0.217;0.489707317;0.424339385;0.027601078
7019;9.97177E-05;5.35542E-05;0.000187974;0.000114155;0.094824798;0.2584;0.529317073;0.42358542;0.094824798
7020;0.000105934;4.90109E-05;0.000206772;0.000114155;0.179892183;0.2964;0.536341463;0.422812366;0.179892183
7021;0.000113119;4.38561E-05;0.000187974;0.000114155;0.225660377;0.3409;0.529219512;0.422058401;0.225660377
7022;0.000117235;4.01584E-05;0.000190324;0.000114155;0.250458221;0.3781;0.531829268;0.421304435;0.250458221
7023;0.000108435;3.66304E-05;0.000213821;0.000114155;0.220754717;0.3611;0.546170732;0.420531382;0.220754717
7024;0.000103365;3.38321E-05;0.00022322;0.000114155;0.193315364;0.2977;0.566878049;0.419777417;0.193315364
7025;9.96629E-05;3.50237E-05;0.00022322;0.000114155;0.145929919;0.2707;0.599658537;0.419004364;0.145929919
7026;9.70094E-05;3.973E-05;0.000164478;0.000114155;0.085876011;0.3052;0.642902439;0.418250398;0.085876011
7027;9.93963E-05;4.7875E-05;0.000117484;0.000114155;0.027493261;0.3648;0.681902439;0.417477345;0.027493261
7028;0.000109467;5.01199E-05;8.81E-05;0.000114155;0.000862534;0.362;0.703609756;0.41672338;0.000862534
7029;0.000114535;5.28558E-05;5.87E-05;0.000114155;0;0.3243;0.712829268;0.415950326;0
7030;0.000108625;5.23938E-05;3.76E-05;0.000114155;0;0.2858;0.693146341;0.415196361;0
7031;0.000103293;5.29919E-05;2.35E-05;0.000114155;0;0.2976;0.654487805;0.414423308;0
7032;0.000110461;5.41255E-05;9.40E-06;0.000114155;0;0.3098;0.598073171;0.413669342;0
7033;1.08E-04;5.52569E-05;5.87E-06;0.000114155;0;0.2708;0.541121951;0.412886745;0
7034;9.68E-05;5.64998E-05;2.35E-06;0.000114155;0;0.2385;0.49704878;0.412142324;0
7035;9.41E-05;5.59308E-05;1.17E-06;0.000114155;0;0.2425;0.47404878;0.411359727;0
